PrimaryKey,Sire,Dam,Sex,Color,Year,Details,URL,Horse Name,Generation,LoadURL,,,
bay+camerton+mare7,bay+camerton,fan3,M,,,"BAY CAMERTON MARE (AUS) M, { } DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf Career Earnings: NTB",https://www.pedigreequery.com/bay+camerton+mare7,BAY CAMERTON MARE (AUS),0,True,,,
bay+camerton+mare3,bay+camerton,old+hector+mare,M,,,"BAY CAMERTON MARE (AUS) M, {C26} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/bay+camerton+mare3,BAY CAMERTON MARE (AUS),0,True,,,
betsey+haxall,sir+harry2,saltram+mare,M,b,,"BETSEY HAXALL  (USA) b. M, {A24} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/betsey+haxall,BETSEY HAXALL  (USA),0,True,,,
blaze4,kennedys+diomed,purity6,M,b,,"BLAZE  (USA) b. M, { } DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/blaze4,BLAZE  (USA),0,True,,,
brimmer+mare13,goodes+brimmer,silvereye+mare,M,,,"BRIMMER MARE (USA) M, {2} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/brimmer+mare13,BRIMMER MARE (USA),0,TRUE,1,,
buzzard+mare13,blackburns+buzzard,lady+grey3,M,gr,,"BUZZARD MARE  (USA) gr. M, {40} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/buzzard+mare13,BUZZARD MARE  (USA),0,True,,,
carrie+d,don+juan4,romance3,M,b,,"CARRIE D  (USA) b. M, {A33} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/carrie+d,CARRIE D  (USA),0,True,,,
colonial+family+four,,,M,,,"COLONIAL FAMILY FOUR M, {C4} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+four,COLONIAL FAMILY FOUR,0,True,,,
colonial+family+nine,,,M,,,"COLONIAL FAMILY NINE M, {C9} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+nine,COLONIAL FAMILY NINE,0,True,,,
colonial+family+six,,,M,,,"COLONIAL FAMILY SIX M, {C6} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+six,COLONIAL FAMILY SIX,0,True,,,
